Department,PrjInvId,Project Id,Person,NetId,Role,Start,End,Cost,Type,Title
,67015-19187,67015,"DICHTEL, WILLIAM",WRD33,PI,2012,2016,750000,GRANT,BECKMAN YOUNG INVESTIGATOR AWARD: BOTTOM-UP SYNTHESIS OF STRUCTURALLY PRECISE GRAPHENE NANORIBBONS
,67043-15949,67043,"DANIEL, SUSAN",SD386,CO,2012,2016,382000,GRANT,INVISCID WETTING AND SPREADING BY CAPILLARITY: THE ‰ÛªWALKING‰Ûª INSTABILITY
,67094-30629,67094,"DESJARDINS, OLIVIER",OD57,CO,2012,2015,339070,GRANT,HYDRODYNAMIC INSTABILITIES AND FLOW MODIFICATION CAUSED BY PREFERENTIAL CONCENTRATION OF INERTIAL PARTICLES
,67108-9748,67108,"HOBBS, PETER",PH14,PI,2012,2017,49400,GRANT,CORNELL CONSERVATION AGRICULTURE WEB SITE (CUCA)
,67182-2079,67182,"WALDRON, JOHN KEITH",JKW5,PI,2012,2015,23950,GRANT,"DEVELOPING AN IPM PROGRAM FOR WESTERN BEAN CUTWORM, A NEW CORN AND DRY BEAN PEST IN THE NORTHEAST REGION"
,67202-22527,67202,"FRAZIER, PETER",PF98,PI,2012,2015,611020,GRANT,OPTIMAL LEARNING FOR EFFICIENT EXPERIMENTATION IN NANOTECHNOLOGY AND BIOCHEMISTRY
,67213-21027,67213,"SMART, LAWRENCE B",LBS33,PI,2012,2016,1365673,GRANT,THE GENOMIC BASIS OF HETEROSIS IN HIGH-YIELDING TRIPLOID HYBRIDS OF WILLOW (SALIX SPP.) BIOENERGY CROPS
,67214-20047,67214,"STANTON, TATIANA L",TLS7,PI,2012,2016,188974,GRANT,FORAGE-BASED PARASITE CONTROL IN SHEEP AND GOATS IN THE NORTHEAST US
,67225-12107,67225,"SCHAFFER, CHRIS",CS385,PI,2012,2015,442735,GRANT,FEMTOSECOND LASER-PRODUCED SUB-SURFACE CUTS TO HALT FOCAL EPILEPTIC SEIZURES
,67238-23067,67238,"KEINAN, ALON",AK735,PI,2012,2016,400000,GRANT,THE X-FACTOR OF HUMAN AGING: MAPPING AGE-RELATED DISEASE GENES ON CHROMOSOME X
,67247-25667,67247,"YU, HAIYUAN",HY299,PI,2012,2015,140974,GRANT,WHOLE GENOME SEQUENCING TO DISCOVER FAMILIAL MYELOMA RISK GENES
,67250-13927,67250,"LAMB, ELIZABETH M",EML38,PI,2012,2016,49941,GRANT,HANDHELD MOBILE APPLICATION TECHNOLOGY FOR PEST IDENTIFICATION AND SCOUTING IN CHRISTMAS TREE AND CONIFER NURSERY PRODUCTION
,67250-13970,67250,"ESHENAUR, BRIAN C",BCE1,CO,2012,2016,49941,GRANT,HANDHELD MOBILE APPLICATION TECHNOLOGY FOR PEST IDENTIFICATION AND SCOUTING IN CHRISTMAS TREE AND CONIFER NURSERY PRODUCTION
,67250-32913,67250,"ENGLISH, KAREN J",KJE7,KP,2012,2016,49941,GRANT,HANDHELD MOBILE APPLICATION TECHNOLOGY FOR PEST IDENTIFICATION AND SCOUTING IN CHRISTMAS TREE AND CONIFER NURSERY PRODUCTION
,67253-1052,67253,"GADOURY, DAVID M",DMG4,PI,2012,2014,59794,GRANT,INVESTIGATION & EXPLOITATION OF LIGHT AS A NON-CHEMICAL MEANS TO MANAGE POWDERY MILDEWS
,67253-2238,67253,"SEEM, ROBERT C",RCS4,CO,2012,2014,59794,GRANT,INVESTIGATION & EXPLOITATION OF LIGHT AS A NON-CHEMICAL MEANS TO MANAGE POWDERY MILDEWS
,67268-2625,67268,"JOHNSON, C R",CRJ2,PI,2012,2017,30000,GRANT,REMBRANDT ANGLE MAP PROJECT AT CORNELL UNIVERSITY
,67287-6064,67287,"STARK, CHRISTINA M.",CMS11,PI,2012,2016,170079,GRANT,"TO FIELD TEST, REVISE, HOST, DELIVER TO THE TARGET AUDIENCE, AND EVALUATE AN ELECTRONIC TRAINING COURSE FOR CAPACITY BUILDING IN PROGRAMMING FOR INFANT AND YOUNG CHILD FEEDING"
,67292-8804,67292,"DOMSKE, HELEN M",HMD4,PI,2012,2015,99999,GRANT,"INCREASING CITIZEN INVOLVEMENT AND IMPROVING GREAT LAKES LITERACY THROUGH TRAINING, MENTORING, COMMUNITY-BUILDING, AND PLACE-BASED STEWARDSHIP"
,67337-2073,67337,"BURKHAUSER, RICHARD V",RVB1,PI,2012,2016,100000,GRANT,BRADLEY FOUNDATION FELLOWSHIP
,67337-45329,67337,"EREZ, YUVAL",YE32,FE,2012,2016,100000,GRANT,BRADLEY FOUNDATION FELLOWSHIP
,67350-2658,67350,"SEYLER, CHARLES E",CES7,CO,2012,2017,11000000,COOP,CENTER FOR PULSED-POWER-DRIVEN HIGH-ENERGY-DENSITY PLASMAS
,67350-20107,67350,"GOURDAIN, PIERRE",PAG89,CO,2012,2017,11000000,COOP,CENTER FOR PULSED-POWER-DRIVEN HIGH-ENERGY-DENSITY PLASMAS
,67350-3810,67350,"HAMMER, DAVID A",DAH5,PI,2012,2017,11000000,COOP,CENTER FOR PULSED-POWER-DRIVEN HIGH-ENERGY-DENSITY PLASMAS
,67362-3902,67362,"HARRIS-WARRICK, RONALD M",RMH4,PI,2012,2017,1659714,GRANT,CRCNS: ORGANIZATION OF THE LOCOMOTOR CPG IN THE RODENT SPINAL CORD
,67373-21867,67373,"HUME, KELLY R",KRH73,PI,2012,2016,12970,CONTRACT,A PILOT STUDY TO DETERMINE IF PALLADIAå¨ INDUCES HYPOTHYROIDISM IN DOGS
,67373-7784,67373,"BALKMAN, CHERYL",CEB11,KP,2012,2016,12970,CONTRACT,A PILOT STUDY TO DETERMINE IF PALLADIAå¨ INDUCES HYPOTHYROIDISM IN DOGS
,67373-16388,67373,"THOMPSON, MARGRET SARA",MST42,KP,2012,2016,12970,CONTRACT,A PILOT STUDY TO DETERMINE IF PALLADIAå¨ INDUCES HYPOTHYROIDISM IN DOGS
,67385-11124,67385,"REID, JUDSON EDWARD",JER11,KP,2012,2016,1962562,GRANT,ADDRESSING CRITICAL PEST MANAGEMENT CHALLENGES IN ORGANIC CUCURBIT PRODUCTION
,67385-3181,67385,"HOFFMANN, MICHAEL P",MPH3,CO,2012,2016,1962562,GRANT,ADDRESSING CRITICAL PEST MANAGEMENT CHALLENGES IN ORGANIC CUCURBIT PRODUCTION
