,"63728-2492","63728","DAWSON, PAUL R","PAUL","R","DAWSON","PRD5","PI","Mechanical & Aerospace Engineering","2355","2492","63728","A001","ADVANCED TITANIUM ALLOY MICROSTRUCTURE AND MECHANICAL PROPERTY MODELING","2355","Mechanical & Aerospace Engineering","LADISH FORGING","32676","2010","2014","130000","CONTRACT","480","AIR FORCE, DOD","LADISH","","","Mechanical & Aerospace Engineering","APA"
,"61451-13527","61451","BREWER, DAVID R.","DAVID","R.","BREWER","DRB22","PI","0557 Other Funds","05AZ","13527","61451","A001","TRANSITION SERVICES PROFESSIONAL DEVELOPMENT SUPPORT CENTER","05AZ","0557 Other Funds","NYS DEPT OF EDUCATION","2323","2010","2015","1526262","CONTRACT","","","NYS","NYSEDUC","","Employment & Disability Institute","ASAP"
,"62029-3956","62029","NICHOLSON, PHILIP D","PHILIP","D","NICHOLSON","PDN2","PI","Center Astrophysics-Planetary Science","3425","3956","62029","A001","FOR THE PARTICIPATION OF PHIL NICHOLSON IN CASSINI TWT ACTIVITIES","3425","Center Astrophysics-Planetary Science","JET PROPULSION LABORATORY","1803","2010","2017","1449778","CONTRACT","535","NATL AERONAUTICS & SPACE ADM","JPL","","","Center Astrophysics-Planetary Science","ASAP"
,"68879-28167","68879","MASTER AGREEMENT, OSP","OSP","","MASTER AGREEMENT","","PI","Office of Sponsored Programs","3445","28167","68879","A001","AMGEN MASTER FUNDING AGREEMENT","3445","Office of Sponsored Programs","AMGEN INC","764","2013","2018","0","CONTRACT","","","AMGEN","","","Office of Sponsored Programs","ASAP"
,"67802-3932","67802","ALDWINCKLE, HERBERT S","HERBERT","S","ALDWINCKLE","HSA1","CO","CALS Plant Pathology - Geneva","0625","3932","67802","A001","SURVEY OF STREPTOMYCIN-RESISTANT ERWINIA AMYLOVORA (FIRE BLIGHT) IN NEW YORK TO IMPROVE CONTROL OPTIONS FOR GROWERS","06C4","CALS PP-GN Uncategorized","NYS DEPT OF AG & MARKETS","2301","2012","2015","98225","CONTRACT","2990","AGRICULTURAL MARKETING SERV, USDA","NYS","AGMRKT","","CALS Plant Pathology","ASAP"
,"66496-2496","66496","SENGERS, PHOEBE","PHOEBE","","SENGERS","PJS54","PI","Computer Science","2366","2496","66496","A001","HCC: SMALL: VALUES, PROGRESS AND IT: USING HISTORY TO ASSESS AND INSPIRE TECHNOLOGY","3622","IS Faculty Activities","DIRECTORATE FOR COMPUTER & INFORMATION SCIENCE & ENGINEERING NSF","5167","2012","2016","497401","GRANT","","","NSF","NSF CISE","","Information Science","ASAP"
,"73981-3434","73981","WEIGLE, TIMOTHY H.","TIMOTHY","H.","WEIGLE","THW4","KP","CALS IPM Uncategorized","01L4","3434","73981","A001","AN INTEGRATED PEST MANAGEMENT PROGRAM FOR NEW YORK STATE, 2014 - 2017","01L4","CALS IPM Uncategorized","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","19473","2014","2017","855000","GRANT","","","USDA","USDA-NIFA","","CALS Integrated Pest Management","APA"
,"75236-1506","75236","DANFORTH, BRYAN N","BRYAN","N","DANFORTH","BND1","PI","CALS ENT-IT Uncategorized","01E2","1506","75236","A001","NORTHEAST POLLINATOR PARTNERSHIP: DEVELOPING COST-EFFECTIVE POLLINATOR MANAGEMENT FOR NEW YORK APPLEGROWERS","01E2","CALS ENT-IT Uncategorized","NEW YORK FARM VIABILITY INSTITUTE","12954","2015","2017","100000","CONTRACT","2301","NYS DEPT OF AG & MARKETS","NY FARM VIABILITY INST","","","CALS Entomology","ASAP"
,"70602-34390","70602","SCHINDELBECK, ROBERT R","ROBERT","R","SCHINDELBECK","RRS3","KP","CALS CSS Uncategorized","01B6","34390","70602","A001","SOIL HEALTH TRAINING AND QUANTIFYING BENEFITS FOR PRECISION N MANAGEMENT","01B6","CALS CSS Uncategorized","NATURAL RESOURCES CONSERVATION SERVICE, USDA","3015","2013","2015","75000","GRANT","","","USDA","NRCS","","CALS Soil and Crop Sciences","APA"
Biomedical Engineering,"59995-14988","59995","BUTCHER, JONATHAN T","JONATHAN","T","BUTCHER","JTB47","PI","Biomedical Engineering","2388","14988","59995","A001","CAREER: ENGINEERING FUNCTIONAL TISSUE ASSEMBLY AND REMODELING THROUGH DEVELOPMENTAL BIOLOGY","2388","Biomedical Engineering","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF","5166","2010","2016","443000","GRANT","","","NSF","NSF BIO","","Biomedical Engineering","ASAP"
